service_id,provider_id,service_name,category,price,rating,review_count
1,8,Service 1,Pest Control,2101,4.184370920678964,15
2,42,Service 2,Beauty & Salon,3651,4.090336960577607,55
3,15,Service 3,Pest Control,4264,4.770985925535479,9
4,47,Service 4,Cleaning Services,254,4.068249705354091,29
5,29,Service 5,Beauty & Salon,2023,4.837078990703029,24
6,33,Service 6,Cleaning Services,3662,4.437193396357244,4
7,30,Service 7,Plumbing,3279,4.915513677291914,64
8,39,Service 8,Home Appliances,1032,4.721532861121906,48
9,27,Service 9,Cleaning Services,4608,4.610404667007957,2
10,36,Service 10,Beauty & Salon,3006,4.9493067970577656,44
11,29,Service 11,Plumbing,2690,4.396649373052054,13
12,38,Service 12,Cleaning Services,527,4.954086936539633,29
13,33,Service 13,Electrical,3510,4.135001277421207,67
14,37,Service 14,Pest Control,3500,4.483754941932412,17
15,27,Service 15,Home Appliances,3875,4.269911222392195,61
16,33,Service 16,Cleaning Services,3254,4.539842778908193,36
17,4,Service 17,Plumbing,2343,4.162013877891584,24
18,22,Service 18,Electrical,1511,4.8415296603100435,47
19,2,Service 19,Gardening,3391,4.8464078493145575,64
20,10,Service 20,Plumbing,2738,4.955236312723479,52
21,5,Service 21,Pest Control,4183,4.154672140883236,78
22,10,Service 22,Plumbing,4747,4.6233325509049905,72
23,33,Service 23,Electrical,364,4.47423730870037,14
24,38,Service 24,Plumbing,4477,4.344383732044233,48
25,13,Service 25,Electrical,1022,4.351540161134219,67
26,31,Service 26,Cleaning Services,1143,4.412793550606752,11
27,47,Service 27,Electrical,4625,4.704925549688953,58
28,36,Service 28,Electrical,974,4.598286058268155,36
29,45,Service 29,Home Appliances,2398,4.459681512761131,60
30,24,Service 30,Electrical,3356,4.075933410369622,42
31,15,Service 31,Electrical,4442,4.077765344078957,69
32,29,Service 32,Gardening,3895,4.002339390625778,38
33,8,Service 33,Cleaning Services,3652,4.967699388207087,55
34,5,Service 34,Pest Control,1114,4.005253818558385,62
35,29,Service 35,Home Appliances,1508,4.103093746013744,45
36,47,Service 36,Gardening,4377,4.314596556809411,10
37,4,Service 37,Beauty & Salon,713,4.807430251816761,61
38,12,Service 38,Cleaning Services,2120,4.962098785764118,76
